player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,team,team_goals,conceded_goals,win,tie,match,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,rating
Aleksandar Mitrović,45.0,rs SRB,FW,22-344,19,1,0,0,0,3,2,1.1,1.1,3,1,Newcastle United,3,0,True,False,Newcastle United - West Ham,40,3,2,3,1,1,0,0,0.1,0.1,2,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,7,4,1,1,7,52,34,2,0,2,0,0,8,1,0,0,0,1,1,0,0,0,0,1,2,2,,,,,,,,,,,,,,,,
Christian Atsu,30.0,gh GHA,LW,25-228,90,0,1,0,0,2,1,0.1,0.1,2,1,Newcastle United,3,0,True,False,Newcastle United - West Ham,209,99,8,8,5,7,0,1,0.4,0.2,1,1,0,0,3,18,16,2,0,0,0,1,1,1,1,1,0,0,0,5,0,5,2,1,0,1,3,17,15,3,4,1,19,218,91,3,4,1,0,0,17,4,0,0,0,0,1,0,0,0,0,4,0,2,,,,,,,,,,,,,,,,7.390000000000001
Matt Ritchie,11.0,sct SCO,RW,27-350,87,0,1,0,0,4,1,0.2,0.2,2,1,Newcastle United,3,0,True,False,Newcastle United - West Ham,443,239,10,12,7,11,5,12,0.3,0.3,1,3,1,1,7,40,33,7,1,0,0,9,1,5,4,3,1,3,2,0,0,0,1,2,0,3,6,18,28,3,1,1,29,122,57,1,2,1,1,1,27,3,0,0,0,2,0,0,0,0,0,6,2,1,,,,,,,,,,,,,,,,8.129999999999999
Jacob Murphy,7.0,eng ENG,RW,22-183,3,0,0,0,0,0,0,0.0,0.0,0,0,Newcastle United,3,0,True,False,Newcastle United - West Ham,17,10,2,3,0,0,0,1,0.0,0.0,0,0,0,0,0,4,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,6.02
Ayoze Pérez,17.0,es ESP,AM,24-028,90,0,1,0,0,3,1,0.1,0.1,4,1,Newcastle United,3,0,True,False,Newcastle United - West Ham,208,85,10,13,5,9,0,0,0.8,0.2,2,1,1,0,4,24,23,1,0,1,0,1,0,0,0,0,0,2,2,3,0,3,0,1,0,0,1,16,23,7,3,1,31,148,65,4,0,4,4,1,29,10,0,0,0,3,1,0,0,0,0,4,0,2,,,,,,,,,,,,,,,,
Mikel Merino,23.0,es ESP,DM,21-065,90,0,0,0,0,1,1,0.0,0.0,5,1,Newcastle United,3,0,True,False,Newcastle United - West Ham,364,177,11,17,9,16,1,4,0.3,0.0,2,5,1,0,5,38,37,1,1,0,1,0,0,0,2,1,1,1,0,0,0,0,1,1,0,1,4,38,5,1,3,2,19,125,70,2,1,0,2,3,12,0,1,0,0,1,2,0,0,0,0,9,4,2,,,,,,,,,,,,,,,,7.38
Isaac Hayden,14.0,eng ENG,DM,22-157,81,0,0,0,0,1,0,0.0,0.0,4,1,Newcastle United,3,0,True,False,Newcastle United - West Ham,402,175,6,9,9,10,4,7,0.1,0.2,2,5,2,2,4,27,26,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,20,9,3,0,0,20,135,52,1,0,1,0,1,16,3,0,0,0,2,2,0,0,0,0,4,0,3,,,,,,,,,,,,,,,,6.98
Mohamed Diamé,10.0,sn SEN,DM,30-073,9,0,0,0,0,0,0,0.0,0.0,1,0,Newcastle United,3,0,True,False,Newcastle United - West Ham,28,0,1,1,1,1,0,0,0.1,0.0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Chancel Mbemba,18.0,cd COD,LB,23-018,90,0,0,0,0,0,0,0.0,0.0,3,0,Newcastle United,3,0,True,False,Newcastle United - West Ham,361,190,6,11,9,12,2,7,0.0,0.0,1,3,1,1,2,30,24,6,0,0,0,1,6,0,4,4,4,6,2,0,0,0,5,5,0,3,17,28,5,0,4,2,19,145,92,2,1,0,0,1,14,1,0,0,0,1,0,0,0,0,0,5,4,2,,,,,,,,,,,,,,,,7.685
Ciaran Clark,2.0,ie IRL,CB,27-334,90,1,0,0,0,1,1,0.3,0.3,1,0,Newcastle United,3,0,True,False,Newcastle United - West Ham,437,156,1,2,7,10,7,11,0.0,0.0,0,0,0,0,0,24,22,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,1,5,0,2,19,12,2,2,0,0,13,43,11,0,0,0,1,0,10,0,0,0,0,1,2,0,0,0,0,3,1,0,,,,,,,,,,,,,,,,7.4350000000000005
Jamaal Lascelles,6.0,eng ENG,CB,23-288,90,0,0,0,0,0,0,0.0,0.0,0,0,Newcastle United,3,0,True,False,Newcastle United - West Ham,225,157,3,5,5,8,2,5,0.0,0.1,0,0,0,0,1,18,17,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,4,0,3,14,7,2,1,0,0,10,55,24,0,1,0,0,0,9,0,0,0,0,1,1,0,0,0,0,3,4,1,,,,,,,,,,,,,,,,7.0649999999999995
Javier Manquillo,19.0,es ESP,RB,23-113,90,0,0,0,0,0,0,0.0,0.0,2,0,Newcastle United,3,0,True,False,Newcastle United - West Ham,260,168,10,13,7,12,0,3,0.0,0.0,1,1,0,0,0,29,18,11,0,0,0,2,11,0,0,0,0,0,0,0,0,0,2,3,0,2,11,12,12,1,0,0,14,88,34,1,2,0,1,0,13,2,0,0,0,2,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,6.995
Rob Elliot,1.0,ie IRL,GK,31-118,90,0,0,0,0,0,0,0.0,0.0,1,0,Newcastle United,3,0,True,False,Newcastle United - West Ham,855,809,1,1,1,1,16,27,0.0,0.0,0,1,0,0,0,30,17,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,32,0,0,0,0,0,12,63,51,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,0.0,3.0,0.2,12.0,22.0,24.0,5.0,46.7,6.0,56.5,14.0,3.0,1.0,9.6,
Javier Hernández,17.0,mx MEX,FW,29-086,90,0,0,0,0,2,2,0.4,0.4,3,0,West Ham,0,3,False,False,Newcastle United - West Ham,219,30,3,3,6,6,2,2,0.0,0.0,1,2,0,0,2,11,10,1,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,1,12,8,2,2,1,13,57,8,0,0,0,2,1,17,3,1,0,0,2,3,0,0,0,0,0,1,4,,,,,,,,,,,,,,,,
Edimilson Fernandes,31.0,ch SUI,DM,21-133,90,0,0,0,0,1,0,0.0,0.0,0,0,West Ham,0,3,False,False,Newcastle United - West Ham,776,150,9,14,20,22,6,9,0.0,0.0,0,1,1,0,3,45,45,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,6,40,5,0,1,1,35,267,106,1,2,0,1,0,37,7,1,0,0,1,1,0,0,0,0,6,1,3,,,,,,,,,,,,,,,,5.95
Michail Antonio,30.0,jm JAM,RW,27-151,90,0,0,0,0,1,0,0.0,0.0,3,0,West Ham,0,3,False,False,Newcastle United - West Ham,257,103,6,9,5,7,3,7,0.1,0.0,2,1,1,1,1,25,22,2,0,0,0,4,2,0,0,0,0,0,0,3,0,3,0,0,0,0,2,18,21,3,8,2,21,154,48,2,0,2,2,3,32,11,0,0,0,0,1,1,0,0,0,2,3,4,,,,,,,,,,,,,,,,5.545
André Ayew,20.0,gh GHA,AM,27-252,69,0,0,0,0,1,0,0.0,0.0,0,0,West Ham,0,3,False,False,Newcastle United - West Ham,162,14,8,10,2,5,1,1,0.0,0.0,0,1,0,0,1,17,17,0,0,0,0,0,0,0,4,3,2,2,0,0,0,0,0,0,0,1,2,14,8,1,0,0,9,76,34,1,0,0,0,0,13,1,0,0,0,0,2,0,0,0,0,6,2,3,,,,,,,,,,,,,,,,
Diafra Sakho,15.0,sn SEN,AM,27-245,21,0,0,0,0,0,0,0.0,0.0,0,0,West Ham,0,3,False,False,Newcastle United - West Ham,9,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,2,4,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5.335
Mark Noble,16.0,eng ENG,DM,30-110,70,0,0,0,0,0,0,0.0,0.0,2,0,West Ham,0,3,False,False,Newcastle United - West Ham,805,209,11,11,15,17,9,19,0.0,0.0,0,1,0,0,3,49,40,8,3,0,5,7,1,4,1,1,0,1,1,0,0,0,2,2,0,2,12,36,9,0,0,0,26,112,39,0,0,0,0,0,30,1,0,0,0,1,3,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,6.23
Cheikhou Kouyaté,8.0,sn SEN,DM,27-248,20,0,0,0,0,0,0,0.0,0.0,0,0,West Ham,0,3,False,False,Newcastle United - West Ham,204,24,5,5,6,6,1,1,0.0,0.0,0,0,0,0,0,13,12,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,14,0,0,1,1,11,66,26,0,0,0,1,0,11,0,0,0,0,1,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,
Declan Rice,41.0,eng ENG,DM,18-224,45,0,0,0,0,0,0,0.0,0.0,0,0,West Ham,0,3,False,False,Newcastle United - West Ham,299,68,5,5,6,6,3,3,0.0,0.0,0,1,1,0,2,14,14,0,0,0,0,0,0,0,4,3,2,2,0,1,1,0,0,1,0,2,8,12,1,0,0,0,11,69,15,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,5.3100000000000005
Manuel Lanzini,10.0,ar ARG,AM,24-192,45,0,0,0,0,1,0,0.0,0.0,0,0,West Ham,0,3,False,False,Newcastle United - West Ham,586,110,15,17,16,17,2,3,0.0,0.0,0,2,0,0,4,39,34,5,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,3,36,5,0,1,0,23,118,28,0,0,0,1,0,34,1,0,0,0,0,1,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,5.4
Aaron Cresswell,3.0,eng ENG,LB,27-254,90,0,0,0,0,2,1,0.1,0.1,2,0,West Ham,0,3,False,False,Newcastle United - West Ham,837,214,19,23,22,24,4,8,0.0,0.0,0,5,0,0,8,56,43,13,1,0,2,3,12,0,0,0,0,1,1,1,1,0,1,2,0,3,16,38,12,1,0,0,26,146,43,1,1,0,1,1,38,3,0,0,0,1,1,0,0,0,0,3,0,1,,,,,,,,,,,,,,,,5.42
Angelo Ogbonna,21.0,it ITA,CB,29-095,90,0,0,0,0,0,0,0.0,0.0,0,0,West Ham,0,3,False,False,Newcastle United - West Ham,1279,291,13,14,31,40,13,20,0.0,0.0,0,0,0,0,1,75,73,2,2,0,1,0,0,0,1,1,1,1,0,1,0,1,0,3,0,4,41,41,0,0,0,0,44,286,126,1,0,0,0,0,58,1,0,0,0,1,3,0,0,0,0,4,0,4,,,,,,,,,,,,,,,,5.345000000000001
James Collins,19.0,wls WAL,CB,34-003,90,0,0,0,0,0,0,0.0,0.0,0,0,West Ham,0,3,False,False,Newcastle United - West Ham,1131,407,11,14,26,33,12,19,0.0,0.0,0,4,0,0,0,66,65,1,1,0,2,0,0,0,1,1,0,0,0,1,1,0,0,7,0,7,38,35,2,2,1,1,39,194,121,0,0,0,0,0,54,0,0,0,0,1,1,0,0,0,0,1,4,1,,,,,,,,,,,,,,,,5.74
Pablo Zabaleta,5.0,ar ARG,RB,32-222,90,0,0,0,0,0,0,0.0,0.0,3,0,West Ham,0,3,False,False,Newcastle United - West Ham,1051,289,7,14,39,44,5,11,0.0,0.0,1,6,0,0,6,71,55,16,0,0,0,0,16,0,2,2,2,4,2,1,0,1,2,7,0,6,23,50,9,1,1,1,31,135,49,0,0,0,0,0,36,3,0,0,0,1,0,1,0,0,0,8,2,2,,,,,,,,,,,,,,,,5.775
Joe Hart,25.0,eng ENG,GK,30-129,90,0,0,0,0,0,0,0.0,0.0,0,0,West Ham,0,3,False,False,Newcastle United - West Ham,985,888,2,2,7,7,15,36,0.0,0.0,0,0,0,0,0,46,28,18,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,42,49,0,0,0,1,1,23,177,119,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,3.0,5.0,3.3,14.0,34.0,35.0,6.0,46.5,11.0,61.1,18.0,0.0,0.0,8.0,6.425
Romelu Lukaku,9.0,be BEL,FW,24-105,90,0,0,0,1,5,2,1.1,0.3,5,0,Manchester United,2,0,True,False,Manchester United - Leicester,226,54,13,15,5,8,0,0,0.1,0.0,2,2,0,0,4,25,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,7,26,7,1,1,20,84,54,3,1,1,2,0,28,9,0,0,0,2,1,0,0,0,0,1,7,5,,,,,,,,,,,,,,,,7.1
Anthony Martial,11.0,fr FRA,LW,21-264,75,0,0,0,0,3,1,0.1,0.1,5,0,Manchester United,2,0,True,False,Manchester United - Leicester,510,114,27,30,10,10,0,2,0.4,0.3,4,2,1,0,5,52,49,2,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,39,7,2,2,53,519,298,10,9,4,2,5,58,17,0,0,0,0,0,0,0,0,0,3,2,2,,,,,,,,,,,,,,,,7.029999999999999
Jesse Lingard,14.0,eng ENG,RM,24-254,15,0,1,0,0,1,0,0.1,0.1,1,1,Manchester United,2,0,True,False,Manchester United - Leicester,95,20,6,7,2,2,0,0,0.8,0.0,1,0,0,0,1,10,8,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,4,7,1,0,0,4,26,5,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,6.359999999999999
Juan Mata,8.0,es ESP,RW,29-120,66,0,0,0,0,1,1,0.1,0.1,3,0,Manchester United,2,0,True,False,Manchester United - Leicester,668,135,33,35,11,13,3,3,0.1,0.2,1,2,4,1,7,55,53,2,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,20,34,5,1,1,44,283,132,3,1,1,0,0,50,10,0,0,0,0,1,1,0,0,0,3,0,0,,,,,,,,,,,,,,,,6.84
Marcus Rashford,19.0,eng ENG,LM,19-299,24,1,0,0,0,1,1,0.1,0.1,2,0,Manchester United,2,0,True,False,Manchester United - Leicester,169,94,6,8,4,4,1,3,0.1,0.2,2,1,4,0,5,16,15,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12,2,3,2,17,101,67,3,1,0,0,1,18,4,0,0,0,1,1,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,6.93
Henrikh Mkhitaryan,22.0,am ARM,AM,28-217,73,0,1,0,0,2,0,0.1,0.1,8,1,Manchester United,2,0,True,False,Manchester United - Leicester,732,174,28,33,16,17,3,6,0.2,0.1,4,5,3,0,8,59,57,2,1,0,1,4,0,1,1,1,0,1,1,0,0,0,2,0,0,0,4,32,36,2,4,2,51,256,118,1,5,0,4,2,55,4,1,0,0,1,1,0,0,0,0,5,1,6,,,,,,,,,,,,,,,,7.335
Marouane Fellaini,27.0,be BEL,CM,29-277,17,1,0,0,0,1,1,0.8,0.8,1,0,Manchester United,2,0,True,False,Manchester United - Leicester,249,112,8,8,6,6,1,2,0.0,0.0,1,1,0,0,1,17,17,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,4,13,2,1,0,0,11,29,14,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,1,2,,,,,,,,,,,,,,,,6.54
Nemanja Matić,31.0,rs SRB,DM,29-025,90,0,0,0,0,0,0,0.0,0.0,2,0,Manchester United,2,0,True,False,Manchester United - Leicester,1017,190,31,34,30,31,2,4,0.0,0.0,0,7,1,0,3,72,69,3,2,0,0,0,1,0,3,3,2,3,1,1,0,1,2,2,0,3,20,51,15,1,3,2,53,281,110,2,1,0,0,2,56,1,0,0,0,1,1,0,0,0,0,8,2,2,,,,,,,,,,,,,,,,
Paul Pogba,6.0,fr FRA,DM,24-164,90,0,0,0,0,6,0,0.5,0.5,7,1,Manchester United,2,0,True,False,Manchester United - Leicester,1571,398,44,50,33,38,12,16,0.0,0.2,1,8,1,0,16,110,110,0,0,1,2,4,0,0,0,0,0,1,1,1,0,1,1,0,0,0,8,64,52,5,4,4,84,457,260,3,3,0,2,7,103,5,0,0,0,0,0,1,0,0,0,6,1,1,,,,,,,,,,,,,,,,7.029999999999999
Daley Blind,17.0,nl NED,LB,27-170,90,0,0,0,0,0,0,0.0,0.0,5,0,Manchester United,2,0,True,False,Manchester United - Leicester,1085,476,39,43,23,28,6,11,0.1,0.4,1,4,5,2,13,84,70,14,0,0,0,10,10,4,1,1,1,3,2,1,0,1,2,1,0,3,13,42,35,1,0,0,54,256,134,3,1,0,1,0,59,12,0,0,0,2,1,0,0,0,0,6,3,3,,,,,,,,,,,,,,,,6.6850000000000005
Phil Jones,4.0,eng ENG,CB,25-186,90,0,0,0,0,0,0,0.0,0.0,0,0,Manchester United,2,0,True,False,Manchester United - Leicester,927,393,14,14,34,35,2,2,0.0,0.0,0,1,0,0,6,54,54,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,6,0,7,25,36,2,0,1,1,32,140,70,1,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,7,2,1,,,,,,,,,,,,,,,,7.145
Eric Bailly,3.0,ci CIV,CB,23-136,90,0,0,0,0,0,0,0.0,0.0,0,0,Manchester United,2,0,True,False,Manchester United - Leicester,774,299,13,14,25,29,3,5,0.0,0.0,0,5,0,0,4,49,48,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,0,3,27,30,0,0,0,0,37,209,143,2,0,0,0,1,36,0,0,0,0,1,0,0,0,0,0,8,1,0,,,,,,,,,,,,,,,,7.0
Antonio Valencia,25.0,ec ECU,RB,32-022,90,0,0,0,0,1,0,0.0,0.0,1,0,Manchester United,2,0,True,False,Manchester United - Leicester,993,304,55,59,17,22,2,11,0.0,0.2,1,5,1,1,2,97,90,7,0,0,0,10,7,0,2,2,1,1,0,0,0,0,0,2,0,2,17,41,43,5,2,2,63,308,224,8,7,1,0,0,74,10,0,0,0,0,0,0,0,0,0,6,1,1,,,,,,,,,,,,,,,,
David de Gea,1.0,es ESP,GK,26-292,90,0,0,0,0,0,0,0.0,0.0,0,0,Manchester United,2,0,True,False,Manchester United - Leicester,529,490,5,5,3,3,7,16,0.0,0.0,0,2,0,0,0,24,15,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,27,0,0,0,0,0,12,77,71,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,4.0,0.0,4.0,1.8,7.0,16.0,18.0,3.0,37.8,6.0,61.8,6.0,2.0,3.0,13.0,6.83
Jamie Vardy,9.0,eng ENG,FW,30-227,75,0,0,0,0,0,0,0.0,0.0,2,0,Leicester,0,2,False,False,Manchester United - Leicester,144,25,4,8,3,4,1,3,0.1,0.0,2,1,0,0,3,18,16,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,3,13,9,0,0,0,9,49,13,1,1,0,3,2,16,4,0,0,0,0,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,6.205
Islam Slimani,19.0,dz ALG,FW,29-069,15,0,0,0,0,2,1,0.5,0.5,1,0,Leicester,0,2,False,False,Manchester United - Leicester,68,14,4,4,2,2,0,0,0.0,0.0,1,0,1,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,0,3,24,8,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,5.525
Shinji Okazaki,20.0,jp JPN,FW,31-132,59,0,0,0,0,1,1,0.0,0.0,0,0,Leicester,0,2,False,False,Manchester United - Leicester,109,20,5,6,3,4,0,0,0.0,0.0,0,0,0,0,1,12,11,1,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,1,0,1,5,9,5,0,0,0,8,33,16,0,0,0,2,2,9,2,0,0,0,1,1,1,0,0,0,4,1,2,,,,,,,,,,,,,,,,6.265000000000001
Andy King,10.0,wls WAL,CM,28-301,31,0,0,0,0,0,0,0.0,0.0,1,0,Leicester,0,2,False,False,Manchester United - Leicester,136,61,5,7,2,2,1,1,0.1,0.0,1,1,0,0,1,11,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,6,3,1,0,0,6,9,6,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,5.52
Marc Albrighton,11.0,eng ENG,LM,27-281,59,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,0,2,False,False,Manchester United - Leicester,98,17,3,5,3,6,0,2,0.0,0.0,0,1,0,0,0,14,14,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,1,3,0,4,6,6,8,0,1,0,8,38,12,0,0,0,0,0,12,2,0,0,0,1,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,6.18
Demarai Gray,7.0,jm JAM,LW,21-059,31,0,0,0,0,2,1,0.1,0.1,4,0,Leicester,0,2,False,False,Manchester United - Leicester,191,76,6,7,3,3,2,6,0.6,0.3,3,1,2,1,1,16,13,3,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,2,0,0,12,170,130,6,6,2,0,0,11,2,0,0,0,0,0,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,6.225
Wilfred Ndidi,25.0,ng NGA,CM,20-253,90,0,0,0,0,1,0,0.0,0.0,2,0,Leicester,0,2,False,False,Manchester United - Leicester,322,117,11,12,9,13,1,4,0.0,0.0,0,2,0,0,2,34,34,0,0,0,0,0,0,0,6,2,3,8,5,2,0,2,1,2,0,2,12,24,9,0,3,3,17,80,25,1,0,0,0,1,26,0,0,0,0,1,1,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,6.390000000000001
Matty James,22.0,eng ENG,CM,26-035,90,0,0,0,0,1,0,0.0,0.0,1,0,Leicester,0,2,False,False,Manchester United - Leicester,385,172,17,20,9,13,1,1,0.0,0.0,0,5,0,0,4,41,41,0,0,0,0,0,0,0,2,0,0,3,3,1,0,1,2,5,0,6,18,36,4,0,1,0,16,72,34,0,0,0,3,0,29,1,1,0,0,1,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,6.775
Riyad Mahrez,26.0,dz ALG,RM,26-186,90,0,0,0,0,4,1,0.2,0.2,4,0,Leicester,0,2,False,False,Manchester United - Leicester,467,112,19,23,4,5,5,8,0.0,0.0,0,2,0,0,1,38,35,2,2,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,2,7,28,14,4,6,5,33,216,76,4,1,3,2,0,38,7,0,0,0,1,4,0,0,0,0,9,1,2,,,,,,,,,,,,,,,,6.925
Christian Fuchs,28.0,at AUT,LB,31-141,90,0,0,0,0,0,0,0.0,0.0,3,0,Leicester,0,2,False,False,Manchester United - Leicester,321,136,10,13,5,8,3,6,0.1,0.0,3,1,0,0,3,27,20,7,2,0,0,1,4,0,1,1,0,0,0,3,0,3,4,3,0,5,14,18,7,0,0,0,9,36,14,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,5,2,1,,,,,,,,,,,,,,,,6.365
Harry Maguire,15.0,eng ENG,CB,24-174,90,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,0,2,False,False,Manchester United - Leicester,488,187,10,11,12,15,3,5,0.0,0.0,0,3,1,0,3,32,32,0,0,0,0,1,0,0,1,0,0,1,1,2,1,1,3,10,0,11,26,19,3,1,2,2,13,111,84,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,8,4,4,,,,,,,,,,,,,,,,7.145
Wes Morgan,5.0,jm JAM,CB,33-217,90,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,0,2,False,False,Manchester United - Leicester,117,91,4,6,3,6,0,1,0.0,0.0,0,1,0,0,1,16,15,0,0,0,0,0,0,0,4,3,0,0,0,4,4,0,0,11,0,13,25,8,3,1,0,0,8,52,40,1,0,0,1,0,10,3,0,0,0,0,0,1,0,0,0,1,3,1,,,,,,,,,,,,,,,,7.07
Danny Simpson,2.0,eng ENG,RB,30-234,90,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,0,2,False,False,Manchester United - Leicester,311,115,12,14,4,11,2,4,0.0,0.0,0,1,0,0,2,29,18,11,1,0,0,1,10,0,2,2,1,3,2,1,1,0,2,9,0,8,19,18,8,1,1,0,9,43,17,0,1,0,1,0,14,0,0,0,0,1,1,0,0,1,0,4,2,4,,,,,,,,,,,,,,,,6.16
Kasper Schmeichel,1.0,dk DEN,GK,30-294,90,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,0,2,False,False,Manchester United - Leicester,950,848,0,0,4,4,16,33,0.0,0.0,0,3,1,0,1,37,22,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,39,2,0,0,0,0,17,191,157,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,7.0,2.0,4.0,2.4,15.0,31.0,26.0,4.0,48.6,11.0,64.9,26.0,0.0,3.0,17.7,8.02
Álvaro Morata,9.0,es ESP,FW,24-308,77,1,1,0,0,2,1,0.3,0.3,4,1,Chelsea,2,0,True,False,Chelsea - Everton,137,20,9,10,3,5,0,0,0.2,0.3,3,1,0,0,0,19,18,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,10,19,5,2,0,23,91,18,1,1,0,4,4,27,7,0,0,0,0,1,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,
Michy Batshuayi,23.0,be BEL,FW,23-329,13,0,0,0,0,1,0,0.0,0.0,2,0,Chelsea,2,0,True,False,Chelsea - Everton,28,15,1,1,1,1,0,0,0.0,0.0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,6,2,0,0,4,37,28,1,1,1,0,0,5,5,0,0,0,1,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,6.05
